'person', 'title', 'company', 'dates'
'41', 'Senior Consultant', 'Simplified Technology Solutions - Atlanta, GA', 'September 2005 bis  Dezember 2006'
'41', 'Senior Consultant', 'Eagle Technology Consultants - Atlanta, GA', 'August 1999 bis  September 2005'
'42', 'Software Engineer', 'HSBC Bank - Mettawa, IL', 'März 2015 bis  Gegenwart'
'42', 'Net Developer', 'HealthPlan Services - Tampa, FL', '2014 bis  Januar 2014'
'42', 'NET Developer', 'MetLife Insurance', 'Juni 2012 bis  Dezember 2013'
'42', 'Net Developer', 'State Farm Insurance - Bloomington, IL', 'März 2011 bis  Mai 2012'
'42', 'Jr. Software Engineer', 'Refulgent Technologies', 'Dezember 2009 bis  Februar 2011'
'43', 'Application Developer', 'University of Connecticut', 'Mai 2014 bis  Mai 2015'
'44', 'Sr. Lotus Notes Developer', 'A3 Technology - New Jersey ', 'Oktober 2014 bis  Gegenwart'
'44', 'Senior Lotus Notes Developer', 'Zurich Financial Services - Owings Mills, MD', 'Januar 2000 bis  Mai 2010'
'44', 'Senior Systems Engineer', 'Maryland Casualty / Zurich Financial Services - Baltimore, MD', 'März 1989 bis  Dezember 1999'
'45', 'Oracle Developer', 'OST - McLean, VA', 'April 2016 bis  Juni 2016'
'45', 'Oracle Database Developer', 'TCS - Bank of America - Newark, DE', 'Oktober 2015 bis  März 2016'
'45', 'Senior Oracle Developer & DBA', 'NAIF ARAB UNIVERSITY FOR SECURITY SCIENCES - الرياض', '2002 bis  Juni 2015'
'45', 'Systems Analyst / Programmer', 'JERAISY COMPUTER & COMMUNICATIONS SERVICES - الرياض', '1997 bis  2002'
'46', 'Programmer Analyst', 'Credit Suisse', 'November 2015 bis  Mai 2016'
'46', 'Programmer Analyst', 'Bank Of America', 'November 2014 bis  September 2015'
'46', 'Programmer Analyst', 'Cummins Inc', 'Juli 2011 bis  Oktober 2014'
'46', 'Team Member', 'Error Control System', 'Juni 2009 bis  März 2010'
'47', 'Cloud Developer', 'Open Cloud Institute - San Antonio, TX', 'Mai 2016 bis  Gegenwart'
'47', 'Teaching Assistant / Grader / Volunteer at OCI', 'University of Texas - San Antonio, TX', 'Januar 2016 bis  Mai 2016'
'47', 'Grader / Student Reader', 'University of Texas - San Antonio, TX', 'August 2015 bis  Dezember 2015'
'47', 'Software Engineer', 'Flarmp Technologies', 'Dezember 2012 bis  Dezember 2013'
'48', 'Net Developer', 'Prudential, NJ', 'November 2015 bis  Gegenwart'
'48', 'Net Developer', 'Deloitte, NY', 'Oktober 2014 bis  Oktober 2015'
'48', 'Net Developer', 'State of IOWA', 'August 2013 bis  September 2014'
'48', 'Net Developer', 'Humana Healthcare - KY', 'Februar 2012 bis  August 2013'
'48', 'Net Developer', 'Walt Disney - Los Angeles, CA', 'Juni 2010 bis  Februar 2012'
'48', 'Jr.Net Developer', 'Bajaj Alliance Insurance', 'Juni 2009 bis  Juni 2010'
'49', 'Sr. Developer', 'Tempoe - Manchester, NH', 'Januar 2016 bis  Gegenwart'
'49', 'Austria as Software Developer', 'Kalixa Payments Gmbh', 'Januar 2015 bis  Juni 2015'
'50', 'JD Edwards Technical Developer', 'Cognizant Technology Solutions - Hyderabad, Andhra Pradesh', 'Oktober 2015 bis  Gegenwart'
'50', 'Systems Engineer', 'TATA CONSULTANCY SERVICES as Systems', 'Oktober 2012 bis  Gegenwart'
'50', 'None', 'TATA CONSULTANCY SERVICES as Systems', 'März 2013 bis  Januar 2015'
'51', 'Developer', 'Tata Consultancy Services (TCS)', 'Oktober 2012 bis  Dezember 2014'
'51', 'System Engineer', 'Sainsbury's', 'Oktober 2011 bis  September 2012'
'52', 'Java/J2EE Developer', 'Walgreens - Deerfield, IL', 'Juli 2015 bis  Gegenwart'
'52', 'Java/J2EE Developer', 'PayPal - Sparks, MD', 'April 2014 bis  Juni 2015'
'52', 'Java/J2EE Developer', 'TD Ameritrade - Newark, NJ', 'Juni 2013 bis  März 2014'
'52', 'Java/J2EE Developer', 'First Bank Kansas, KS', 'September 2012 bis  Mai 2013'
'52', 'Java Developer', 'Convergys - Hyderabad, Andhra Pradesh', 'Januar 2011 bis  Juli 2012'
'52', 'Java Developer', 'Next Education Pvt. Ltd', 'September 2009 bis  Dezember 2010'
'53', 'ETL developer', '84.51 - Cincinnati, OH', 'Oktober 2015 bis  Gegenwart'
'53', 'Informatica ETL developer/QA Lead', 'Wells Fargo Bank Winston - Salem, NC', 'April 2015 bis  September 2015'
'53', 'Informatica Developer', 'BBVA Compass Bank - Birmingham, AL', 'März 2013 bis  Februar 2015'
'53', 'Informatica Developer', 'ADESA - Indianapolis, IN', 'November 2012 bis  Januar 2013'
'53', 'Informatica Developer', 'Unity Health Insurance/UW Health - Madison, WI', 'Februar 2012 bis  November 2012'
'53', 'Informatica Developer', 'Devon Energy OKC', 'Oktober 2011 bis  Januar 2012'
'53', 'Informatica Developer', 'QVC PA', 'Mai 2010 bis  August 2011'
'53', 'Informatica Developer', 'Sentry Insurance WI', 'April 2009 bis  April 2010'
'53', 'Informatica Developer', 'Harris Bank, IL', 'August 2007 bis  März 2009'
'54', 'Developer/Analyst', 'Tata Consultancy Services (TCS) - Buffalo, NY', 'November 2014 bis  Gegenwart'
'54', 'Developer', 'Tata Consultancy Services (TCS) - Chennai, Tamil Nadu', 'Mai 2014 bis  November 2014'
'54', 'Computer Programmer', 'Tata Consultancy Services (TCS) - Chennai, Tamil Nadu', 'Oktober 2011 bis  April 2014'
'55', 'Web Developer', 'Bluemoon Pools Atlanta - Atlanta, GA', '2016 bis  Gegenwart'
'55', 'Lead developer', 'FreelanceJr.WebDeveloper - New York, NY', '2016 bis  Juni 2016'
'56', 'Implementation Developer', 'Inforce Technologies', '2015 bis  2016'
'56', 'Manager', 'Learning Express Toys - Strongsville, OH', '2013 bis  2015'
'56', 'Assistant Kitchen Supervisor', 'Cantina Diablo's - Royal Oak, MI', '2012 bis  2013'
'56', 'Line cook until the kitchen closed, then bar back', 'Bastone - Royal Oak, MI', '2011 bis  2011'
'56', 'Line/Prep cook responsible for food prep, station/kitchen cleanliness, plating', 'Ocean Prime - Troy, MI', '2008 bis  2010'
'56', 'shortly after promoted to general manager', 'Jimmy John's - Auburn Hills, MI', '2007 bis  2008'
'57', 'ExtJs/java developer (Team Lead)', 'Tech Mahindra', 'Dezember 2015 bis  Gegenwart'
